date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:55	47330/47330	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:55%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveCounters	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveCounters.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:55	83222/83222	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:56%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveDeveloperFAQ	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveDeveloperFAQ.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:56	73451/73451	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:56%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+Metadata+Caching+Proposal	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+Metadata+Caching+Proposal.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:56	78372/78372	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:57%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+on+Spark%3A+Getting+Started	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+on+Spark_+Getting+Started.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:57	50917/50917	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:57%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+PreCommit+Patch+Testing	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+PreCommit+Patch+Testing.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:57	52849/52849	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:58%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+PTest2+Infrastructure	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+PTest2+Infrastructure.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:58	157324/157324	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:58%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveServer2+Clients	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveServer2+Clients.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:58	57691/57691	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:59%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveServer2+Overview	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveServer2+Overview.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:59	100246/100246	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:59%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+Transactions	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+Transactions.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:00	52354/52354	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:00%20GMT	https://cwiki.apache.org/confluence/display/Hive/How+to+edit+the+website	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/How+to+edit+the+website.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:00	73719/73719	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:00%20GMT	https://cwiki.apache.org/confluence/display/Hive/JDBC+Storage+Handler	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/JDBC+Storage+Handler.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:00	53653/53653	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:00%20GMT	https://cwiki.apache.org/confluence/display/Hive/Kudu+Integration	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Kudu+Integration.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:01	74155/74155	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:01%20GMT	https://cwiki.apache.org/confluence/display/Hive/Materialized+views	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Materialized+views.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:01	54715/54715	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:01%20GMT	https://cwiki.apache.org/confluence/display/Hive/Metastore+TLP+Proposal	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Metastore+TLP+Proposal.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:02	46948/46948	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:02%20GMT	https://cwiki.apache.org/confluence/display/Hive/OperatorsAndFunctions	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/OperatorsAndFunctions.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:02	51863/51863	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:02%20GMT	https://cwiki.apache.org/confluence/display/Hive/Permission+Inheritance+in+Hive	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Permission+Inheritance+in+Hive.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:03	55770/55770	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:04%20GMT	https://cwiki.apache.org/confluence/display/Hive/PluginDeveloperKit	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/PluginDeveloperKit.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:03	65764/65764	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:04%20GMT	https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+April+2016	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+April+2016.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:04	66814/66814	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:05%20GMT	https://cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+August+2015	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Proposed+Changes+to+Hive+Project+Bylaws+-+August+2015.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:04	52217/52217	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:05%20GMT	https://cwiki.apache.org/confluence/display/Hive/Query+ReExecution	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Query+ReExecution.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:05	48529/48529	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:05%20GMT	https://cwiki.apache.org/confluence/display/Hive/RCFileCat	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/RCFileCat.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:05	47435/47435	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:06%20GMT	https://cwiki.apache.org/confluence/display/Hive/RelatedProjects	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/RelatedProjects.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:06	54902/54902	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:06%20GMT	https://cwiki.apache.org/confluence/display/Hive/Replication	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Replication.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:06	71898/71898	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:07%20GMT	https://cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:07	69471/69471	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:07%20GMT	https://cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest+V2	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Streaming+Data+Ingest+V2.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:07	48804/48804	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:07%20GMT	https://cwiki.apache.org/confluence/display/Hive/Suggestion+for+DDL+Commands+in+HMS+schema+upgrade+scripts	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Suggestion+for+DDL+Commands+in+HMS+schema+upgrade+scripts.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:08	68807/68807	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:08%20GMT	https://cwiki.apache.org/confluence/display/Hive/Synchronized+Metastore+Cache	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Synchronized+Metastore+Cache.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:08	71458/71458	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:08%20GMT	https://cwiki.apache.org/confluence/display/Hive/TeradataBinarySerde	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/TeradataBinarySerde.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:09	47980/47980	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:09%20GMT	https://cwiki.apache.org/confluence/display/Hive/TestingDocs	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/TestingDocs.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:09	63760/63760	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:09%20GMT	https://cwiki.apache.org/confluence/display/Hive/Unit+Testing+Hive+SQL	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Unit+Testing+Hive+SQL.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:10	59511/59511	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:10%20GMT	https://cwiki.apache.org/confluence/display/Hive/Using+TiDB+as+the+Hive+Metastore+database	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Using+TiDB+as+the+Hive+Metastore+database.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:10	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2015%20Dec%202021%2019:39:10%20GMT	https://cwiki.apache.org/confluence/display/~admin	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/_admin	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:10	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2015%20Dec%202021%2019:39:12%20GMT	https://cwiki.apache.org/confluence/display/~liquanpei	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/_liquanpei	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:11	65784/65784	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:12%20GMT	https://cwiki.apache.org/confluence/display/Hive/LLAP	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/LLAP.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:12	90938/90938	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:13%20GMT	https://cwiki.apache.org/confluence/display/Hive/DeveloperGuide	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/DeveloperGuide.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:12	50822/50822	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:13%20GMT	https://cwiki.apache.org/confluence/display/Hive/HCatalog	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HCatalog.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:13	48186/48186	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:13%20GMT	https://cwiki.apache.org/confluence/display/Hive/WebHCat	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/WebHCat.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:13	92178/92178	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:14%20GMT	https://cwiki.apache.org/confluence/display/Hive/GettingStarted	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/GettingStarted.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:39:14	78581/78581	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:39:14%20GMT	https://cwiki.apache.org/confluence/display/Hive/Presentations	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Presentations.html	(from https://cwiki.apache.org/confluence/display/Hive)
